Epoch [1/200], Validation Loss: 1.8722, Validation Acc: 33.28%
Epoch [2/200], Validation Loss: 1.7272, Validation Acc: 37.54%
Epoch [3/200], Validation Loss: 1.6138, Validation Acc: 41.15%
Epoch [4/200], Validation Loss: 1.5997, Validation Acc: 41.62%
Epoch [5/200], Validation Loss: 1.5632, Validation Acc: 42.38%
Epoch [6/200], Validation Loss: 1.5248, Validation Acc: 44.99%
Epoch [7/200], Validation Loss: 1.4967, Validation Acc: 45.52%
Epoch [8/200], Validation Loss: 1.4842, Validation Acc: 45.80%
Epoch [9/200], Validation Loss: 1.4487, Validation Acc: 48.12%
Epoch [10/200], Validation Loss: 1.4666, Validation Acc: 47.19%
Epoch [11/200], Validation Loss: 1.4603, Validation Acc: 47.18%
Epoch [12/200], Validation Loss: 1.4291, Validation Acc: 47.79%
Epoch [13/200], Validation Loss: 1.4111, Validation Acc: 49.13%
Epoch [14/200], Validation Loss: 1.3720, Validation Acc: 49.63%
Epoch [15/200], Validation Loss: 1.3554, Validation Acc: 50.89%
Epoch [16/200], Validation Loss: 1.3418, Validation Acc: 51.27%
Epoch [17/200], Validation Loss: 1.3408, Validation Acc: 51.26%
Epoch [18/200], Validation Loss: 1.3285, Validation Acc: 51.60%
Epoch [19/200], Validation Loss: 1.2810, Validation Acc: 53.91%
Epoch [20/200], Validation Loss: 1.2977, Validation Acc: 53.02%
Epoch [21/200], Validation Loss: 1.3040, Validation Acc: 52.56%
Epoch [22/200], Validation Loss: 1.2345, Validation Acc: 55.03%
Epoch [23/200], Validation Loss: 1.2427, Validation Acc: 55.57%
Epoch [24/200], Validation Loss: 1.2485, Validation Acc: 55.41%
Epoch [25/200], Validation Loss: 1.1998, Validation Acc: 56.87%
Epoch [26/200], Validation Loss: 1.2334, Validation Acc: 55.77%
Epoch [27/200], Validation Loss: 1.1793, Validation Acc: 58.30%
Epoch [28/200], Validation Loss: 1.1792, Validation Acc: 57.73%
Epoch [29/200], Validation Loss: 1.1641, Validation Acc: 57.99%
Epoch [30/200], Validation Loss: 1.1433, Validation Acc: 58.86%
Epoch [31/200], Validation Loss: 1.1095, Validation Acc: 60.43%
Epoch [32/200], Validation Loss: 1.0826, Validation Acc: 62.09%
