Model,Mode,Step,Accuracy,Wall time
Baseline_CNN,train,0,38.06399917602539,1738281610.0115075
Baseline_CNN,train,1,47.88199996948242,1738281622.1191754
Baseline_CNN,train,2,54.03200149536133,1738281634.2665868
Baseline_CNN,train,3,58.80400085449219,1738281646.0344372
Baseline_CNN,train,4,62.26800155639648,1738281658.0747974
Baseline_CNN,train,5,64.947998046875,1738281670.1651251
Baseline_CNN,train,6,67.09200286865234,1738281682.204853
Baseline_CNN,train,7,69.14199829101562,1738281694.420393
Baseline_CNN,train,8,71.10800170898438,1738281706.4553075
Baseline_CNN,train,9,72.447998046875,1738281718.50587
Baseline_CNN,train,10,73.87200164794922,1738281730.1828976
Baseline_CNN,train,11,74.91000366210938,1738281742.20091
Baseline_CNN,train,12,76.26599884033203,1738281754.448424
Baseline_CNN,train,13,77.51000213623047,1738281766.5421958
Baseline_CNN,train,14,78.13200378417969,1738281778.6588244
Baseline_CNN,train,15,78.87200164794922,1738281790.844153
Baseline_CNN,train,16,79.60800170898438,1738281802.775774
Baseline_CNN,train,17,80.0979995727539,1738281814.809575
Baseline_CNN,train,18,80.86399841308594,1738281826.9807303
Baseline_CNN,train,19,81.25199890136719,1738281839.2972217
Baseline_CNN,train,20,81.99400329589844,1738281851.575161
Baseline_CNN,train,21,82.33200073242188,1738281864.2814271
Baseline_CNN,train,22,82.77200317382812,1738281878.6185827
Baseline_CNN,train,23,83.05999755859375,1738281890.987011
Baseline_CNN,train,24,83.38200378417969,1738281905.1200783
Baseline_CNN,train,25,83.69599914550781,1738281917.2664738
Baseline_CNN,train,26,84.24800109863281,1738281929.4455032
Baseline_CNN,train,27,84.73600006103516,1738281941.5618565
Baseline_CNN,train,28,84.80999755859375,1738281953.768577
Baseline_CNN,train,29,85.14600372314453,1738281965.5216527
Baseline_CNN,train,30,85.31800079345703,1738281977.9570348
Baseline_CNN,train,31,85.71800231933594,1738281990.6823978
Baseline_CNN,train,32,85.96199798583984,1738282003.4076118
Baseline_CNN,train,33,86.3280029296875,1738282016.0723543
Baseline_CNN,train,34,86.46199798583984,1738282028.3036408
Baseline_CNN,train,35,86.29199981689453,1738282040.2856407
Baseline_CNN,train,36,86.69000244140625,1738282052.4967694
Baseline_CNN,train,37,87.41799926757812,1738282065.0402048
Baseline_CNN,train,38,87.16600036621094,1738282077.7851038
Baseline_CNN,train,39,87.29399871826172,1738282090.044459
Baseline_CNN,train,40,87.66799926757812,1738282102.1148863
Baseline_CNN,train,41,87.62200164794922,1738282114.6722083
Baseline_CNN,train,42,87.87200164794922,1738282126.9899476
Baseline_CNN,train,43,88.10600280761719,1738282139.220514
Baseline_CNN,train,44,88.4800033569336,1738282151.755989
