Epoch [1/200], Validation Loss: 1.8158, Validation Acc: 34.43%
Epoch [2/200], Validation Loss: 1.6987, Validation Acc: 38.63%
Epoch [3/200], Validation Loss: 1.6766, Validation Acc: 39.19%
Epoch [4/200], Validation Loss: 1.6068, Validation Acc: 40.99%
Epoch [5/200], Validation Loss: 1.5502, Validation Acc: 42.91%
Epoch [6/200], Validation Loss: 1.5682, Validation Acc: 43.13%
Epoch [7/200], Validation Loss: 1.4752, Validation Acc: 45.97%
Epoch [8/200], Validation Loss: 1.5532, Validation Acc: 42.12%
Epoch [9/200], Validation Loss: 1.4655, Validation Acc: 46.39%
Epoch [10/200], Validation Loss: 1.4767, Validation Acc: 46.25%
Epoch [11/200], Validation Loss: 1.3880, Validation Acc: 49.89%
Epoch [12/200], Validation Loss: 1.2905, Validation Acc: 52.86%
Epoch [13/200], Validation Loss: 1.2533, Validation Acc: 54.88%
Epoch [14/200], Validation Loss: 1.1699, Validation Acc: 57.11%
Epoch [15/200], Validation Loss: 1.1046, Validation Acc: 60.78%
Epoch [16/200], Validation Loss: 1.1135, Validation Acc: 60.77%
Epoch [17/200], Validation Loss: 1.0738, Validation Acc: 62.24%
Epoch [18/200], Validation Loss: 1.0202, Validation Acc: 64.07%
Epoch [19/200], Validation Loss: 0.9938, Validation Acc: 65.63%
Epoch [20/200], Validation Loss: 0.9254, Validation Acc: 68.02%
Epoch [21/200], Validation Loss: 0.9266, Validation Acc: 68.10%
Epoch [22/200], Validation Loss: 0.8687, Validation Acc: 69.71%
Epoch [23/200], Validation Loss: 0.8295, Validation Acc: 71.30%
Epoch [24/200], Validation Loss: 0.8149, Validation Acc: 71.95%
Epoch [25/200], Validation Loss: 0.7913, Validation Acc: 72.30%
Epoch [26/200], Validation Loss: 0.7971, Validation Acc: 72.74%
Epoch [27/200], Validation Loss: 0.7705, Validation Acc: 73.59%
Epoch [28/200], Validation Loss: 0.7608, Validation Acc: 73.93%
Epoch [29/200], Validation Loss: 0.7280, Validation Acc: 74.82%
Epoch [30/200], Validation Loss: 0.7203, Validation Acc: 75.41%
Epoch [31/200], Validation Loss: 0.7222, Validation Acc: 75.28%
Epoch [32/200], Validation Loss: 0.6861, Validation Acc: 76.96%
Epoch [33/200], Validation Loss: 2.3158, Validation Acc: 10.00%
Epoch [34/200], Validation Loss: 2.3040, Validation Acc: 10.00%
Epoch [35/200], Validation Loss: 2.3027, Validation Acc: 10.00%
Epoch [36/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [37/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [38/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [39/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [40/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [41/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [42/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [43/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [44/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [45/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [46/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [47/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [48/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [49/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [50/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [51/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [52/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [53/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [54/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [55/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [56/200], Validation Loss: 2.3026, Validation Acc: 10.00%
Epoch [57/200], Validation Loss: 2.3026, Validation Acc: 10.00%
